work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,remote_work_type,company_location,company_size,job_category,exchange_rate,salary_in_usd,experience_level_description,employment_type_description,country_name
2021,SE,FT,Data Science Manager,240000.0,USD,US,0,On-site only,US,L,Leadership (DS),1.0,240000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Engineering Manager,150000.0,USD,US,0,On-site only,US,L,Leadership (DE),1.0,150000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Engineering Manager,153000.0,USD,US,100,Fully remote,US,L,Leadership (DE),1.0,153000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Cloud Data Engineer,160000.0,USD,BR,100,Fully remote,US,S,Data Engineering,1.0,160000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Science Manager,144000.0,USD,US,100,Fully remote,US,L,Leadership (DS),1.0,144000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Analytics Manager,120000.0,USD,US,100,Fully remote,US,M,Leadership (DA),1.0,120000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Specialist,165000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,165000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Principal Data Scientist,235000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,235000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Engineering Manager,174000.0,USD,US,100,Fully remote,US,L,Leadership (DE),1.0,174000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Science Manager,174000.0,USD,US,100,Fully remote,US,L,Leadership (DS),1.0,174000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Machine Learning Infrastructure Engineer,195000.0,USD,US,100,Fully remote,US,M,Machine Learning,1.0,195000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Research Scientist,50000.0,USD,FR,100,Fully remote,US,S,Research,1.0,50000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Machine Learning Engineer,200000.0,USD,US,100,Fully remote,US,L,Machine Learning,1.0,200000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Engineer,165000.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,165000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Analytics Manager,120000.0,USD,US,0,On-site only,US,L,Leadership (DA),1.0,120000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Principal Data Engineer,185000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,185000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Analytics Manager,140000.0,USD,US,100,Fully remote,US,L,Leadership (DA),1.0,140000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Scientist,135000.0,USD,US,0,On-site only,US,L,Data Science,1.0,135000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,ML Engineer,256000.0,USD,US,100,Fully remote,US,S,Machine Learning,1.0,256000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Director of Data Engineering,200000.0,USD,US,100,Fully remote,US,L,Leadership (DE),1.0,200000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Analyst,200000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,200000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Scientist,165000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,165000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Principal Data Analyst,170000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,170000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Machine Learning Engineer,185000.0,USD,US,50,Hybrid,US,L,Machine Learning,1.0,185000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Lead Data Engineer,160000.0,USD,PR,50,Hybrid,US,S,Data Engineering,1.0,160000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Science Manager,4000000.0,INR,IN,50,Hybrid,US,L,Leadership (DS),73.918,54114.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,135000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,135000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,155000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,155000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,120600.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,120600.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,102100.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,102100.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,84900.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,84900.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,136620.0,USD,US,100,Fully remote,US,M,Data Science,1.0,136620.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,99360.0,USD,US,100,Fully remote,US,M,Data Science,1.0,99360.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,146000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,146000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,123000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,123000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,99000.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,99000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,116000.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,116000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,165220.0,USD,US,100,Fully remote,US,M,Data Science,1.0,165220.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,120160.0,USD,US,100,Fully remote,US,M,Data Science,1.0,120160.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,90320.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,90320.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,181940.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,181940.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,132320.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,132320.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,220110.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,220110.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,160080.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,160080.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,180000.0,USD,US,0,On-site only,US,L,Data Science,1.0,180000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,120000.0,USD,US,0,On-site only,US,L,Data Science,1.0,120000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,124190.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,124190.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,170000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,170000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,112900.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,112900.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,165400.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,165400.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,132320.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,132320.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,243900.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,243900.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,136600.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,136600.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,109280.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,109280.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,128875.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,128875.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,93700.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,93700.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,156600.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,156600.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,108800.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,108800.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,95550.0,USD,US,0,On-site only,US,M,Data Science,1.0,95550.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,113000.0,USD,US,0,On-site only,US,L,Data Engineering,1.0,113000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,135000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,135000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Science Manager,161342.0,USD,US,100,Fully remote,US,M,Leadership (DS),1.0,161342.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Science Manager,137141.0,USD,US,100,Fully remote,US,M,Leadership (DS),1.0,137141.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,167000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,167000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,150000.0,USD,US,0,On-site only,US,M,Data Science,1.0,150000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,211500.0,USD,US,100,Fully remote,US,M,Data Science,1.0,211500.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,160000.0,USD,US,0,On-site only,US,L,Data Engineering,1.0,160000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,138600.0,USD,US,100,Fully remote,US,M,Data Science,1.0,138600.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,136000.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,136000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,170000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,170000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Machine Learning Engineer,189650.0,USD,US,0,On-site only,US,M,Machine Learning,1.0,189650.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Machine Learning Engineer,164996.0,USD,US,0,On-site only,US,M,Machine Learning,1.0,164996.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,132000.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,132000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Architect,208775.0,USD,US,100,Fully remote,US,M,Data Architect,1.0,208775.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Architect,147800.0,USD,US,100,Fully remote,US,M,Data Architect,1.0,147800.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,136994.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,136994.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,101570.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,101570.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,164000.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,164000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,155000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,155000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analytics Manager,145000.0,USD,US,100,Fully remote,US,M,Leadership (DA),1.0,145000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analytics Manager,105400.0,USD,US,100,Fully remote,US,M,Leadership (DA),1.0,105400.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,215300.0,USD,US,100,Fully remote,US,L,Data Science,1.0,215300.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,158200.0,USD,US,100,Fully remote,US,L,Data Science,1.0,158200.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,209100.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,209100.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,154600.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,154600.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,115934.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,115934.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,81666.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,81666.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,175000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,175000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,183600.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,183600.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,180000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,180000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,260000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,260000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,180000.0,USD,US,0,On-site only,US,M,Data Science,1.0,180000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,80000.0,USD,US,0,On-site only,US,M,Data Science,1.0,80000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,100800.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,100800.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,140400.0,USD,US,0,On-site only,US,L,Data Science,1.0,140400.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,180000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,180000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,80000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,80000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,105000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,105000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Research Scientist,144000.0,USD,US,50,Hybrid,US,L,Research,1.0,144000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,104890.0,USD,US,100,Fully remote,US,M,Data Science,1.0,104890.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,100000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,100000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,140000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,140000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,220000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,220000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,185100.0,USD,US,100,Fully remote,US,M,Data Science,1.0,185100.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Machine Learning Engineer,220000.0,USD,US,100,Fully remote,US,M,Machine Learning,1.0,220000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,210000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,210000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Machine Learning Engineer,120000.0,USD,US,100,Fully remote,US,M,Machine Learning,1.0,120000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,230000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,230000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Head of Data,200000.0,USD,MY,100,Fully remote,US,M,Leadership (DS),1.0,200000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,100000.0,USD,BR,100,Fully remote,US,M,Data Science,1.0,100000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,165000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,165000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,115000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,115000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Science Manager,152500.0,USD,US,100,Fully remote,US,M,Leadership (DS),1.0,152500.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Applied Data Scientist,380000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,380000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analytics Lead,405000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,405000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Applied Data Scientist,177000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,177000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,100000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,100000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Machine Learning Engineer,214000.0,USD,US,100,Fully remote,US,M,Machine Learning,1.0,214000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Machine Learning Engineer,192600.0,USD,US,100,Fully remote,US,M,Machine Learning,1.0,192600.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Architect,266400.0,USD,US,100,Fully remote,US,M,Data Architect,1.0,266400.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Architect,213120.0,USD,US,100,Fully remote,US,M,Data Architect,1.0,213120.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,115934.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,115934.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,81666.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,81666.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,130000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,130000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,110500.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,110500.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,99050.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,99050.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,160000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,160000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,205300.0,USD,US,0,On-site only,US,L,Data Science,1.0,205300.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,176000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,176000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,144000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,144000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,200100.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,200100.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,145000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,145000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,70500.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,70500.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,205300.0,USD,US,0,On-site only,US,M,Data Science,1.0,205300.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,140400.0,USD,US,0,On-site only,US,M,Data Science,1.0,140400.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Analytics Engineer,205300.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,205300.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Analytics Engineer,184700.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,184700.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,175100.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,175100.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,140250.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,140250.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,116150.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,116150.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,54000.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,54000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,80000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,80000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,210000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,210000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,69000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,69000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,150075.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,150075.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,25000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,25000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,126500.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,126500.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,106260.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,106260.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,220110.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,220110.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,160080.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,160080.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,105000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,105000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,110925.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,110925.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,60000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,60000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Architect,192564.0,USD,US,100,Fully remote,US,M,Data Architect,1.0,192564.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Architect,144854.0,USD,US,100,Fully remote,US,M,Data Architect,1.0,144854.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Scientist,150000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,150000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analytics Manager,150260.0,USD,US,100,Fully remote,US,M,Leadership (DA),1.0,150260.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analytics Manager,109280.0,USD,US,100,Fully remote,US,M,Leadership (DA),1.0,109280.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,154000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,154000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Engineer,126000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,126000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,129000.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,129000.0,Senior-level (Intermediate),Full-time,United States
2022,SE,FT,Data Analyst,150000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,150000.0,Senior-level (Intermediate),Full-time,United States
2020,EX,FT,Director of Data Science,325000.0,USD,US,100,Fully remote,US,L,Leadership (DS),1.0,325000.0,Executive-level / Director (Expert),Full-time,United States
2021,EX,FT,BI Data Analyst,150000.0,USD,IN,100,Fully remote,US,L,Data Analyst,1.0,150000.0,Executive-level / Director (Expert),Full-time,United States
2021,EX,FT,Head of Data,235000.0,USD,US,100,Fully remote,US,L,Leadership (DS),1.0,235000.0,Executive-level / Director (Expert),Full-time,United States
2021,EX,FT,Director of Data Science,250000.0,USD,US,0,On-site only,US,L,Leadership (DS),1.0,250000.0,Executive-level / Director (Expert),Full-time,United States
2021,EX,FT,Principal Data Engineer,600000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,600000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Data Engineer,242000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,242000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Data Engineer,200000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,200000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Data Analyst,130000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,130000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Data Analyst,110000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,110000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Head of Data Science,224000.0,USD,US,100,Fully remote,US,M,Leadership (DS),1.0,224000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Head of Data Science,167875.0,USD,US,100,Fully remote,US,M,Leadership (DS),1.0,167875.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Analytics Engineer,175000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,175000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Analytics Engineer,135000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,135000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Data Engineer,324000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,324000.0,Executive-level / Director (Expert),Full-time,United States
2022,EX,FT,Data Engineer,216000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,216000.0,Executive-level / Director (Expert),Full-time,United States
2021,MI,CT,ML Engineer,270000.0,USD,US,100,Fully remote,US,L,Machine Learning,1.0,270000.0,Mid-level (Junior),Contract,United States
2020,EN,CT,Business Data Analyst,100000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,100000.0,Entry-level,Contract,United States
2021,SE,CT,Staff Data Scientist,105000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,105000.0,Senior-level (Intermediate),Contract,United States
2021,EX,CT,Principal Data Scientist,416000.0,USD,US,100,Fully remote,US,S,Data Science,1.0,416000.0,Executive-level / Director (Expert),Contract,United States
2021,MI,FL,Data Engineer,20000.0,USD,IT,0,On-site only,US,L,Data Engineering,1.0,20000.0,Mid-level (Junior),Freelance,United States
2022,MI,FL,Data Scientist,100000.0,USD,CA,100,Fully remote,US,M,Data Science,1.0,100000.0,Mid-level (Junior),Freelance,United States
2020,SE,FL,Computer Vision Engineer,60000.0,USD,RU,100,Fully remote,US,S,Artificial Intelligence,1.0,60000.0,Senior-level (Intermediate),Freelance,United States
2021,EN,PT,AI Scientist,12000.0,USD,BR,100,Fully remote,US,S,Artificial Intelligence,1.0,12000.0,Entry-level,Part-time,United States
2021,EN,PT,AI Scientist,12000.0,USD,PK,100,Fully remote,US,M,Artificial Intelligence,1.0,12000.0,Entry-level,Part-time,United States
2020,MI,FT,Data Analyst,8000.0,USD,PK,50,Hybrid,PK,L,Data Analyst,1.0,8000.0,Mid-level (Junior),Full-time,Pakistan
